0cad474aedea70d42f8d8f2a6f9a21e3c40fa40b.flv,0cad474aedea70d42f8d8f2a6f9a21e3c40fa40b.flv	(0, 0)
0cad474aedea70d42f8d8f2a6f9a21e3c40fa40b.flv,12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv	(0, 1)
0cad474aedea70d42f8d8f2a6f9a21e3c40fa40b.flv,296961b67d89d82a362fb046e333718e1579691d.flv	(0, 1)
0cad474aedea70d42f8d8f2a6f9a21e3c40fa40b.flv,3932dee75c7ddd9785d7d502235892d1b0380f5a.flv	(0, 1)
12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv,12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv	(0, 0)(1, 1)(2, 2)
12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv,296961b67d89d82a362fb046e333718e1579691d.flv	(0, 0)(1, 1)(2, 2)
12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv,3932dee75c7ddd9785d7d502235892d1b0380f5a.flv	(0, 0)(1, 1)(2, 2)
12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv,3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv	(0, 0)(1, 1)(2, 2)
12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv,554d94559dcfcdff9312053469c9c64940dbca20.flv	(0, 0)(1, 1)(2, 2)
12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv,9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv	(0, 0)(1, 1)(2, 2)
12b96f2d055a6eb05241a9aeed95a8be8e5cf79c.flv,ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv	(0, 0)(1, 1)(2, 2)
296961b67d89d82a362fb046e333718e1579691d.flv,296961b67d89d82a362fb046e333718e1579691d.flv	(0, 0)(1, 1)(2, 2)
296961b67d89d82a362fb046e333718e1579691d.flv,3932dee75c7ddd9785d7d502235892d1b0380f5a.flv	(0, 0)(1, 1)(2, 2)
296961b67d89d82a362fb046e333718e1579691d.flv,3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv	(0, 0)(1, 1)(2, 2)
296961b67d89d82a362fb046e333718e1579691d.flv,554d94559dcfcdff9312053469c9c64940dbca20.flv	(0, 0)(1, 1)(2, 2)
296961b67d89d82a362fb046e333718e1579691d.flv,9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv	(0, 0)(1, 1)(2, 2)
296961b67d89d82a362fb046e333718e1579691d.flv,ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv	(0, 0)(1, 1)(2, 2)
3932dee75c7ddd9785d7d502235892d1b0380f5a.flv,3932dee75c7ddd9785d7d502235892d1b0380f5a.flv	(0, 0)(1, 1)(2, 2)
3932dee75c7ddd9785d7d502235892d1b0380f5a.flv,3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv	(0, 0)(1, 1)(2, 2)
3932dee75c7ddd9785d7d502235892d1b0380f5a.flv,554d94559dcfcdff9312053469c9c64940dbca20.flv	(0, 0)(1, 1)(2, 2)
3932dee75c7ddd9785d7d502235892d1b0380f5a.flv,9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv	(0, 0)(1, 1)(2, 2)
3932dee75c7ddd9785d7d502235892d1b0380f5a.flv,ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv	(0, 0)(1, 1)(2, 2)
3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv,3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv	(0, 0)(1, 1)(2, 2)
3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv,554d94559dcfcdff9312053469c9c64940dbca20.flv	(0, 0)(1, 1)(2, 2)
3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv,9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv	(0, 0)(1, 1)(2, 2)
3df02ec5ddb74647d8fb96f08adba8e152050ef9.flv,ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv	(0, 0)(1, 1)(2, 2)
554d94559dcfcdff9312053469c9c64940dbca20.flv,554d94559dcfcdff9312053469c9c64940dbca20.flv	(0, 0)(1, 1)(2, 2)
554d94559dcfcdff9312053469c9c64940dbca20.flv,9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv	(0, 0)(1, 1)(2, 2)
554d94559dcfcdff9312053469c9c64940dbca20.flv,ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv	(0, 0)(1, 1)(2, 2)
9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv,9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv	(0, 0)(1, 1)(2, 2)
9c42a6ce9b8bb966040d9eed9255c1001fffdba6.flv,ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv	(0, 0)(1, 1)(2, 2)
ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv,ee7a5a870cbe3215a87a2798c81a0d43c118e62d.flv	(0, 0)(1, 1)(2, 2)
